# ID, TIME_SQUARED, Y_SQUARED,	UNCERTAINTIES, TIME*Y, YFLAGS_UPPER, YFLAG_LOWER, THEORETICAL_Y
1, 0.00, 64.4194080, 0.0362377, 0.0000000, 8.0624079, 7.9899325, 8.0135286
2, 0.25, 64.3510846, 0.0363153, 4.0109564, 8.0582280, 7.9855975, 8.0063206
3, 1.00, 63.8384920, 0.0369040, 7.9898994, 8.0268033, 7.9529954, 7.9991127
4, 2.25, 63.3723084, 0.0374498, 11.9410089, 7.9981225, 7.9232228, 7.9919047
5, 4.00, 63.7733956, 0.0369796, 15.9716493, 8.0228043, 7.9488451, 7.9846968
6, 6.25, 63.0359026, 0.0378501, 19.8487882, 7.9773653, 7.9016652, 7.9774888
7, 9.00, 63.5876849, 0.0371964, 23.9225660, 8.0113851, 7.9369923, 7.9702808
8, 12.25, 63.2776233, 0.0375620, 27.8415317, 7.9922853, 7.9171614, 7.9630729
9, 16.00, 63.9733691, 0.0367479, 31.9933416, 8.0350833, 7.9615875, 7.9558649
10, 20.25, 63.1992758, 0.0376550, 35.7740875, 7.9874523, 7.9121422, 7.9486569
11, 25.00, 62.9962466, 0.0378976, 39.6850874, 7.9749151, 7.8991199, 7.9414490
12, 30.25, 62.9565039, 0.0379453, 43.6398241, 7.9724588, 7.8965681, 7.9342410
13, 36.00, 62.7622203, 0.0381797, 47.5335664, 7.9604407, 7.8840814, 7.9270330
14, 42.25, 62.8539070, 0.0380689, 51.5322964, 7.9661145, 7.8899767, 7.9198251
15, 49.00, 62.8995773, 0.0380138, 55.5164776, 7.9689392, 7.8929116, 7.9126171
16, 56.25, 62.7449773, 0.0382006, 59.4087954, 7.9593733, 7.8829721, 7.9054091
17, 64.00, 61.9755501, 0.0391475, 62.9796412, 7.9116026, 7.8333077, 7.8982012
18, 72.25, 62.1962083, 0.0388729, 67.0348868, 7.9253302, 7.8475844, 7.8909932
19, 81.00, 62.5134891, 0.0384824, 71.1589251, 7.9450296, 7.8680649, 7.8837852
20, 90.25, 61.9995355, 0.0391175, 74.8027946, 7.9130959, 7.8348609, 7.8765773
21, 100.00, 61.7521588, 0.0394279, 78.5825418, 7.8976821, 7.8188263, 7.8693693
22, 110.25, 62.1546685, 0.0389244, 82.7801438, 7.9227476, 7.8448988, 7.8621613
23, 121.00, 61.6118844, 0.0396053, 86.3425620, 7.8889291, 7.8097185, 7.8549534
24, 132.25, 61.4581613, 0.0398009, 90.1545442, 7.8793265, 7.7997247, 7.8477454
25, 144.00, 61.6485833, 0.0395588, 94.2199341, 7.8912200, 7.8121024, 7.8405374
26, 156.25, 61.0458953, 0.0403314, 97.6648408, 7.8535187, 7.7728558, 7.8333295
27, 169.00, 61.3404461, 0.0399515, 101.8161843, 7.8719657, 7.7920627, 7.8261215
28, 182.25, 61.3217888, 0.0399754, 105.7161104, 7.8707984, 7.7908476, 7.8189135
29, 196.00, 61.2906501, 0.0400154, 109.6036834, 7.8688499, 7.7888191, 7.8117056
30, 210.25, 60.3501096, 0.0412474, 112.6437329, 7.8097807, 7.7272859, 7.8044976
